"id","assay_base","matrix"
"407","1031","7"
"408","1031","18"
"409","1033","7"
"410","1033","18"
"411","1038","7"
"412","1038","18"
"413","1040","7"
"414","1040","18"
"415","1042","7"
"416","1042","18"
"417","1044","7"
"418","1044","18"
"420","1050","7"
"421","1047","15"
"422","1056","7"
"423","1068","7"
"424","1068","18"
"425","1070","7"
"426","1070","18"
"428","1074","15"
"429","1076","13"
"430","1079","15"
"431","178","15"
"432","1082","14"
"433","1082","15"
"434","1084","7"
"435","1084","18"
"436","1101","7"
"437","1101","18"
"438","1103","7"
"439","1103","18"
"440","1106","7"
"441","1106","18"
"442","1250","19"
"443","1252","19"
"444","1254","19"
"445","1256","19"
"448","1262","19"
"449","1264","19"
"450","1267","15"
"451","1269","15"
"452","1278","7"
"453","1278","18"
"454","346","13"
"455","1294","7"
"456","1294","8"
"457","1294","9"
"458","1294","11"
"459","1296","7"
"460","1296","8"
"461","1296","9"
"462","1296","11"
"463","1298","10"
"464","1298","16"
"465","1298","13"
"466","1298","14"
"467","1298","15"
"468","1300","10"
"469","1300","16"
"470","1300","13"
"471","1300","14"
"472","1300","15"
"473","1302","7"
"474","1302","8"
"475","1302","9"
"476","1302","10"
"477","1302","11"
"481","1302","16"
"483","384","8"
"484","384","9"
"485","384","10"
"486","384","11"
"487","384","13"
"488","384","14"
"489","384","15"
"490","384","16"
"491","384","19"
"492","409","8"
"493","409","9"
"494","409","10"
"495","409","11"
"496","409","13"
"497","409","14"
"498","409","15"
"499","409","16"
"500","409","19"
"501","1296","10"
"502","1296","13"
"503","1296","14"
"504","1296","15"
"505","1296","16"
"506","1296","19"
"507","1294","10"
"508","1294","13"
"509","1294","14"
"510","1294","15"
"511","1294","16"
"512","1294","19"
"513","13","15"
"514","13","14"
"515","13","13"
"516","60","13"
"517","60","14"
"518","60","15"
"519","154","13"
"520","154","14"
"521","95","15"
"522","82","13"
"523","82","14"
"524","82","15"
"525","96","15"
"526","231","13"
"527","231","14"
"528","46","15"
"529","803","15"
"530","41","13"
"531","41","14"
"532","41","15"
"533","1346","7"
"534","1346","18"
"535","1349","7"
"536","1349","18"
"537","1351","7"
